id,extension_id:id,query_type,server,regex_registrar,regex_registrar_url,regex_domain_status,regex_nameservers,regex_creation_date,regex_updated_date,regex_expiry_date
domain_name_ac_whois,domain_name_ac,"whois","whois.nic.ac","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ad_whois,domain_name_ad,"whois","whois.nic.ad","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ae_whois,domain_name_ae,"whois","whois.aeda.net.ae","Registrar Name:(.*?)\n","","Status:(.*?)\n","Name Server:(.*?)\n","","",""
domain_name_af_whois,domain_name_af,"whois","whois.nic.af","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ag_whois,domain_name_ag,"whois","whois.nic.ag","Registrar:(.*?)\n","Registrar URL:(.*?)\n","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","Updated Date:(.*?)\n","Registry Expiry Date:(.*?)\n"
domain_name_ai_whois,domain_name_ai,"whois","whois.nic.ai","Registrar:(.*?)\n","","Domain Status:(.*?)https","Name Server:(.*?)\n","Creation Date:(.*?)\n","",""
domain_name_am_whois,domain_name_am,"whois","whois.amnic.net","Registrar:(.*?)\n","","Status:(.*?)\n","DNS servers:(.*?)Registered:","Registered:(.*?)\n","Last modified:(.*?)\n","Expires:(.*?)\n"
domain_name_ar_whois,domain_name_ar,"whois","whois.nic.ar","registrar:(.*?)\n","","","nserver:(.*?)\n","registered:(.*?)\n","changed:(.*?)expire","expire:(.*?)\n"
domain_name_as_whois,domain_name_as,"whois","whois.nic.as","Registrar:(.*?)Relevant dates:","","Domain Status:(.*?)Registrant:","Name servers:(.*?)WHOIS lookup made on","Registered on(.*?)Registry fee due on","","Registry fee due on(.*?)Registration status"
domain_name_at_whois,domain_name_at,"whois","whois.nic.at","registrar:(.*?)\n","","status:(.*?)\n","nserver:(.*?)\n","","changed:(.*?)\n",""
