id,domains_query_id:id,query_regex_option,regex_dotall,regex_ignore_case
query_regex_option_am_domain_status,"domain_management.domain_name_am_whois","domain_status","1","1"
query_regex_option_am_nameservers,"domain_management.domain_name_am_whois","nameservers","1","1"
query_regex_option_as_domain_status,"domain_management.domain_name_as_whois","domain_status","1","1"
query_regex_option_as_nameservers,"domain_management.domain_name_as_whois","nameservers","1","1"
query_regex_option_aw_nameservers,"domain_management.domain_name_aw_whois","nameservers","1","1"
query_regex_option_be_nameservers,"domain_management.domain_name_be_whois","nameservers","1","1"
query_regex_option_be_domain_status,"domain_management.domain_name_be_whois","domain_status","1","1"
query_regex_option_bf_registrar_url,"domain_management.domain_name_bf_whois","registrar_url","0","1"
query_regex_option_bg_nameservers,"domain_management.domain_name_bg_whois","nameservers","1","1"
query_regex_option_bn_nameservers,"domain_management.domain_name_bn_whois","nameservers","1","1"
query_regex_option_eu_nameservers,"domain_management.domain_name_eu_whois","nameservers","1","1"
query_regex_option_fi_registrar_url,"domain_management.domain_name_fi_whois","registrar_url","0","1"
query_regex_option_gg_domain_status,"domain_management.domain_name_gg_whois","domain_status","1","1"
query_regex_option_gg_nameservers,"domain_management.domain_name_gg_whois","nameservers","1","1"
query_regex_option_hk_nameservers,"domain_management.domain_name_hk_whois","nameservers","1","1"
query_regex_option_it_nameservers,"domain_management.domain_name_it_whois","nameservers","1","1"
query_regex_option_je_domain_status,"domain_management.domain_name_je_whois","domain_status","1","1"
query_regex_option_je_nameservers,"domain_management.domain_name_je_whois","nameservers","1","1"
query_regex_option_kg_nameservers,"domain_management.domain_name_kg_whois","nameservers","1","1"
query_regex_option_kz_domain_status,"domain_management.domain_name_kz_whois","domain_status","1","1"
query_regex_option_mo_nameservers,"domain_management.domain_name_mo_whois","nameservers","1","1"
query_regex_option_nl_nameservers,"domain_management.domain_name_nl_whois","nameservers","1","1"
query_regex_option_pl_nameservers,"domain_management.domain_name_pl_whois","nameservers","1","1"
query_regex_option_sa_nameservers,"domain_management.domain_name_sa_whois","nameservers","1","1"

query_regex_option_sm_nameservers,"domain_management.domain_name_sm_whois","nameservers","1","1"
query_regex_option_tn_nameservers,"domain_management.domain_name_tn_whois","nameservers","1","1"
query_regex_option_tr_nameservers,"domain_management.domain_name_tr_whois","nameservers","1","1"
query_regex_option_tw_nameservers,"domain_management.domain_name_tw_whois","nameservers","1","1"
query_regex_option_uk_nameservers,"domain_management.domain_name_uk_whois","nameservers","1","1"
query_regex_option_uk_registrar,"domain_management.domain_name_uk_whois","registrar","1","1"
query_regex_option_uz_nameservers,"domain_management.domain_name_uz_whois","nameservers","1","1"

query_regex_option_ac_uk_nameservers,"domain_management.domain_name_ac_uk_whois","nameservers","1","1"
query_regex_option_gov_uk_nameservers,"domain_management.domain_name_gov_uk_whois","nameservers","1","1"
